Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,Brand
does the gender pay gap exist in uk,23,31,30,48,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,138000000,"[100,0,0,0,0,0,0,29,0,0,0,57]",2021-06-24,"Featured snippet, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
incentive plan meaning,24,29,70,34,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.03,116000000,"[14,14,14,57,100,29,57,14,14,57,71,29]",2021-06-09,"Knowledge panel, Sitelinks, Ads bottom, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
compensation software,24,27,140,42,15.91,https://curocomp.com/,0,0,3,0.74,216000000,"[82,82,82,82,65,82,100,82,82,82,100,100]",2021-06-03,"Reviews, Ads bottom, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
short term incentive definition,24,15,30,17,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,106000000,"[11,11,44,11,33,11,11,78,11,11,56,100]",2021-06-27,"Featured snippet, People also ask",,Organic,Non-Branded
business process management investopedia,24,0,30,46,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.43,51,"[0,0,0,11,11,0,11,100,0,78,44,33]",2021-06-23,"Image pack, Reviews, People also ask",,Organic,Non-Branded
does the pay gap exist in uk,24,61,50,52,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,200000000,"[100,0,0,0,0,0,50,0,0,50,0,100]",2021-06-13,"Video, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
stock incentive plan,25,33,110,35,3.49,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.04,88400000,"[65,53,53,65,82,53,65,82,82,65,82,100]",2021-06-04,"Sitelinks, Featured snippet, People also ask",,Organic,Non-Branded
ava promotions salary,25,0,40,12,0,https://curocomp.com/,0,0,0,0,1050000,"[29,29,14,14,14,14,100,0,0,0,0,0]",2021-06-16,"Sitelinks, Reviews, Video",,Organic,Non-Branded
curo management company,25,24,30,17,0,https://curocomp.com/,0,0,0,0,450000,"[0,33,100,33,33,33,33,33,33,33,33,33]",2021-06-23,"Local pack, Sitelinks, Reviews, People also ask",,Organic,Branded
the fawcett society gender pay gap,25,0,50,39,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,572000,"[0,100,25,0,75,25,0,0,0,0,0,0]",2021-06-15,"Image pack, Video Carousel, People also ask",,Organic,Non-Branded
long investopedia,25,0,90,62,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,69,"[100,25,25,25,50,25,25,25,50,100,50,25]",2021-06-06,"Image pack, Sitelinks",,Organic,Non-Branded
gender pay gap uk examples,26,56,40,51,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,51300000,"[0,0,0,0,100,25,0,0,0,0,0,25]",2021-06-19,"Featured snippet, People also ask, FAQ",,Organic,Non-Branded
equal pay statistics uk,26,39,70,49,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,110000000,"[0,33,0,0,33,100,0,0,0,0,0,33]",2021-06-08,"Featured snippet, People also ask, FAQ",,Organic,Non-Branded
equity incentive plan template,27,50,40,17,4.73,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.44,7760000,"[33,100,67,33,100,33,33,33,67,33,100,33]",2021-06-16,"Image pack, Reviews, People also ask",,Organic,Non-Branded
what is management incentive plan,27,41,50,23,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.07,93600000,"[43,14,43,43,14,14,100,29,14,14,14,14]",2021-06-15,"Sitelinks, Featured snippet, People also ask",,Organic,Non-Branded
what is gender pay gap uk,28,0,50,58,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,118000000,"[0,14,100,0,14,14,14,29,14,29,0,14]",2021-06-16,"Featured snippet, People also ask, FAQ",,Organic,Non-Branded
short term incentive,28,38,210,23,1.68,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.07,108000000,"[53,44,44,34,53,66,66,66,66,66,81,100]",2021-06-30,"Top stories, Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
gender pay gap uk 2019,28,31,30,47,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,94900000,"[20,20,100,20,60,20,0,0,60,0,0,20]",2021-06-24,"Featured snippet, People also ask, FAQ",,Organic,Non-Branded
equity in reward management,28,36,50,41,0,https://curocomp.com/,0,0,0,0,43600000,"[25,100,25,25,25,25,50,25,25,75,50,0]",2021-06-13,"Reviews, Featured snippet, People also ask",,Organic,Non-Branded
restricted stock investopedia,29,24,30,59,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,91,"[33,100,100,33,33,67,33,100,33,33,33,33]",2021-06-27,People also ask,,Organic,Non-Branded
equity software free,29,0,40,28,0,https://curocomp.com/products/curo-pay-equity-analysis-software/,0,0,0,0,330000000,"[20,80,20,20,20,0,20,100,20,20,0,0]",2021-06-18,"Sitelinks, Reviews, Ads top",,Organic,Non-Branded
non equity incentive plan compensation definition,29,29,50,21,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.01,7620000,"[11,11,22,11,11,11,11,11,11,100,56,78]",2021-06-14,"Sitelinks, Featured snippet, People also ask",,Organic,Non-Branded
three main categories of incentive pay plans,30,56,40,23,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,280000000,"[100,0,14,14,0,14,14,0,14,0,0,0]",2021-06-21,"Featured snippet, People also ask, FAQ",,Organic,Non-Branded
key program inc salary,30,0,30,23,0,https://curocomp.com/,0,0,0,0,79200000,"[14,14,29,14,0,43,14,29,14,0,14,100]",2021-06-25,"Reviews, Featured snippet, FAQ",,Organic,Non-Branded
gap compliance,31,27,40,13,0,https://curocomp.com/products/curo-gender-pay-gap-compliance-software/,0,0,0,0,215000000,"[2,2,100,2,2,2,2,8,2,2,4,23]",2021-06-18,"Video Carousel, People also ask",,Organic,Non-Branded
equity analysis,32,0,320,35,11,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,2,0.12,402000000,"[81,81,100,81,100,81,100,100,81,100,100,100]",2021-06-27,"Sitelinks, Featured snippet, Ads bottom, Video Carousel, People also ask",,Organic,Non-Branded
pay gap analysis,32,60,30,48,4.42,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,0,0.11,309000000,"[29,43,14,100,43,14,14,14,43,14,100,14]",2021-06-22,"Sitelinks, Featured snippet, People also ask",,Organic,Non-Branded
equal pay audit template,33,0,70,32,0,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,0,0.29,16700000,"[20,20,60,40,40,40,80,20,60,20,100,20]",2021-06-08,"Image pack, People also ask",,Organic,Non-Branded
world at work pay equity,33,31,50,2,0,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,0,0.12,315000000,"[0,11,11,11,11,11,11,11,100,11,11,56]",2021-06-16,,,Organic,Non-Branded
ltip shares tax,33,35,40,34,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,173000,"[100,0,29,14,0,0,0,0,14,0,14,0]",2021-06-19,"Featured snippet, People also ask, FAQ",,Organic,Non-Branded
paying for performance a guide to compensation management,34,32,40,17,0,https://curocomp.com/expertise/compensation-management/,0,0,0,0,1780000000,"[100,11,11,11,0,22,11,0,11,0,0,11]",2021-06-20,"Knowledge panel, Reviews, FAQ",,Organic,Non-Branded
short term incentive plan design,34,27,70,18,4.92,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.49,65900000,"[11,11,11,11,11,100,11,78,11,11,22,11]",2021-06-10,"Image pack, Featured snippet, People also ask",,Organic,Non-Branded
equity software,34,67,30,35,15.56,https://curocomp.com/products/curo-pay-equity-analysis-software/,0,0,0,0.48,379000000,"[33,11,11,11,11,11,11,100,11,11,11,11]",2021-06-21,"Sitelinks, Reviews, Ads bottom, People also ask",,Organic,Non-Branded
performance incentive plan template,34,39,30,32,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.22,49200000,"[11,11,22,11,100,11,11,11,11,11,11,11]",2021-06-26,"Image pack, Reviews, People also ask, FAQ",,Organic,Non-Branded
another name for incentive pay is,35,46,70,36,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.03,160000000,"[25,25,75,25,100,25,25,25,0,25,25,50]",2021-06-08,"Reviews, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
employee compensation management,35,37,50,34,5.51,https://curocomp.com/expertise/compensation-management/,0,0,0,0.43,324000000,"[11,78,56,33,11,56,11,22,100,11,11,11]",2021-06-11,"Sitelinks, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
pay for performance software,35,34,90,24,9.56,https://curocomp.com/expertise/compensation-management/,0,0,0,0.6,3010000000,"[40,20,20,20,20,80,20,20,40,100,60,40]",2021-06-06,"Reviews, People also ask",,Organic,Non-Branded
uk gender pay gap data,35,47,50,44,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,96600000,"[14,0,0,14,14,71,71,57,0,100,29,14]",2021-06-15,"Sitelinks, Featured snippet, People also ask",,Organic,Non-Branded
what is compensation management system,35,0,20,37,2.57,https://curocomp.com/,0,0,0,0.61,307000000,"[0,20,20,20,20,20,20,20,0,0,20,100]",2021-06-18,"Reviews, Featured snippet, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
incentive unit plan,36,43,50,29,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.04,102000000,"[40,40,20,20,40,20,40,40,20,20,100,20]",2021-06-13,"Featured snippet, People also ask",,Organic,Non-Branded
gap gap uk,36,34,40,55,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,584000000,"[11,11,11,0,100,33,11,0,0,11,22,11]",2021-06-18,Sitelinks,,Organic,Non-Branded
what does lti stand for,37,63,260,22,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,20700000,"[67,54,54,54,100,67,67,54,67,67,67,67]",2021-06-30,"Reviews, Video, Featured snippet, People also ask",,Organic,Non-Branded
when was gender pay gap reporting introduced,37,0,70,46,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,213000000,"[0,0,14,0,14,57,29,14,14,14,100,0]",2021-06-11,"Sitelinks, Featured snippet, People also ask",,Organic,Non-Branded
management equity incentive plan,37,48,20,21,3.9,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.26,105000000,"[11,11,11,22,11,22,11,11,11,22,100,11]",2021-06-29,"Reviews, Featured snippet, People also ask",,Organic,Non-Branded
pay for performance plans typically,37,62,50,39,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.01,277000000,"[0,100,33,33,67,33,33,67,67,33,33,100]",2021-06-15,"Featured snippet, People also ask",,Organic,Non-Branded
gap uk official website,37,42,90,47,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,444000000,"[25,25,0,50,100,25,0,0,0,0,0,25]",2021-06-06,"Sitelinks, Reviews, People also ask",,Organic,Non-Branded
gap uk,37,76,1000,66,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0.06,667000000,"[55,81,63,55,55,55,63,100,100,55,55,63]",2021-06-27,"Knowledge panel, Sitelinks, Reviews, Tweet, Video, People also ask",,Organic,Non-Branded
enterprise incentive management software,40,44,30,14,0,https://curocomp.com/,0,0,0,0.33,45200000,"[20,60,20,20,20,20,20,20,20,20,20,100]",2021-06-24,,,Organic,Non-Branded
what is an equity audit,40,50,30,30,0,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,0,0.02,235000000,"[14,14,14,14,14,14,14,71,100,43,29,43]",2021-06-29,"Knowledge panel, Image pack, Sitelinks, Video, People also ask",,Organic,Non-Branded
gap regulations,41,0,30,31,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,278000000,"[14,14,14,29,14,14,14,43,14,14,100,43]",2021-06-24,"Sitelinks, Featured snippet, People also ask",,Organic,Non-Branded
incentive compensation plan definition,41,38,30,26,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.13,21000000,"[20,100,40,60,60,20,40,100,40,20,60,60]",2021-06-25,"Reviews, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
gap software,41,50,20,35,0.88,https://curocomp.com/products/curo-gender-pay-gap-compliance-software/,0,0,0,0.04,611000000,"[25,75,100,100,25,25,75,25,25,75,25,100]",2021-06-29,"Knowledge panel, Sitelinks, Reviews",,Organic,Non-Branded
incentive management software,42,0,40,23,12.82,https://curocomp.com/,0,0,0,0.39,108000000,"[100,11,56,33,11,11,78,11,11,11,22,22]",2021-06-16,"Reviews, Ads bottom, People also ask",,Organic,Non-Branded
equity incentive plan startup template,42,97,20,16,4.5,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.45,1010000,"[20,20,20,80,20,20,20,100,20,100,20,20]",2021-06-29,"Image pack, Reviews",,Organic,Non-Branded
gender pay gap 2019 reporting,43,0,30,32,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,114000000,"[100,100,100,0,100,100,100,0,0,0,0,0]",2021-06-24,"Featured snippet, People also ask",,Organic,Non-Branded
equality act 2010 gender pay reporting,44,51,50,45,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,8430000,"[0,100,25,0,25,100,25,0,0,0,0,0]",2021-06-13,People also ask,,Organic,Non-Branded
executive incentive compensation plan template,44,0,20,35,3.68,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.86,3560000,"[20,40,20,20,20,60,40,100,40,20,20,20]",2021-06-29,"Image pack, Sitelinks, Reviews, Ads bottom, People also ask",,Organic,Non-Branded
compensation analysis software,46,0,40,39,35.31,https://curocomp.com/,0,0,0,0.41,177000000,"[100,29,57,14,14,14,57,14,29,14,14,71]",2021-06-17,"Image pack, Reviews, People also ask, FAQ",,Organic,Non-Branded
fair compensation system,46,45,70,24,0,https://curocomp.com/expertise/compensation-management/,0,0,0,0.19,164000000,"[0,100,71,14,14,14,43,0,14,14,14,29]",2021-06-09,"Reviews, Featured snippet, People also ask",,Organic,Non-Branded
equity audit,46,29,590,37,3.02,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,0,0.06,163000000,"[17,21,100,72,59,48,59,48,48,48,59,72]",2021-06-19,"Top stories, Image pack, Featured snippet, People also ask",,Organic,Non-Branded
performance vesting options,47,45,40,22,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,4360000,"[20,20,20,20,20,20,20,20,20,100,20,20]",2021-06-20,"Featured snippet, People also ask",,Organic,Non-Branded
how big is the gender pay gap uk,47,86,50,57,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,72700000,"[0,50,25,0,100,100,25,25,25,50,0,25]",2021-06-13,"Sitelinks, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
incentive plan design,47,80,90,15,5.2,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.22,110000000,"[56,11,22,100,11,11,11,11,11,11,11,11]",2021-06-05,"Image pack, Reviews, People also ask, FAQ",,Organic,Non-Branded
esop investopedia,48,45,40,51,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.11,11300,"[20,80,20,20,20,80,100,20,20,20,40,60]",2021-06-18,"Sitelinks, People also ask",,Organic,Non-Branded
incentive in salary,48,80,50,34,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,66700000,"[100,25,50,25,50,25,25,100,25,25,25,25]",2021-06-13,"Image pack, Reviews, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
incentive short form,48,50,90,20,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,116000000,"[100,25,25,25,25,25,25,0,25,50,25,25]",2021-06-06,"Video, People also ask",,Organic,Non-Branded
performance incentive plan examples,49,61,40,44,3.21,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.31,110000000,"[14,14,43,43,14,14,14,14,14,14,100,43]",2021-06-20,"Image pack, Reviews, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
what is equity pay,50,94,20,42,5.18,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,0,0.06,419000000,"[33,33,100,100,33,67,33,33,33,33,33,33]",2021-06-29,"Video, Featured snippet, Ads top, People also ask",,Organic,Non-Branded
comp management,50,29,170,37,4.28,https://curocomp.com/,0,0,0,0.05,504000000,"[67,67,100,81,81,100,100,81,67,81,81,67]",2021-06-30,"Knowledge panel, Reviews",,Organic,Non-Branded
current incentive bonus meaning,50,80,50,44,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,21800000,"[14,14,57,14,14,14,100,29,14,29,29,100]",2021-06-12,"Featured snippet, People also ask",,Organic,Non-Branded
non profit incentive plan sample,50,89,70,17,3.48,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.43,163000000,"[20,100,20,20,40,100,20,20,20,40,20,20]",2021-06-07,"Image pack, FAQ",,Organic,Non-Branded
key equity,51,0,20,27,3.42,https://curocomp.com/pay-equity-key-terms-glossary/,0,0,0,0.21,387000000,"[100,100,100,100,100,100,100,100,100,100,100,100]",2021-06-17,"Sitelinks, Reviews, Video Carousel, People also ask",,Organic,Non-Branded
pay equity strategy,51,0,90,29,0,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,0,0.05,320000000,"[50,50,50,100,50,50,50,50,0,50,50,50]",2021-06-06,"Featured snippet, People also ask",,Organic,Non-Branded
regression analysis in compensation,51,66,30,20,6.42,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,0,0.37,54300000,"[67,100,33,33,33,33,33,33,67,33,33,33]",2021-06-27,"Reviews, Featured snippet, Ads top, Video Carousel, People also ask",,Organic,Non-Branded
what does current incentive bonus mean,52,66,40,29,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,21500000,"[100,14,14,57,14,14,43,14,14,14,14,14]",2021-06-21,"Sitelinks, Featured snippet, People also ask",,Organic,Non-Branded
equity pay,52,0,260,54,3.64,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,0,0.09,363000000,"[66,53,81,81,66,66,81,66,81,81,81,100]",2021-06-30,"Top stories, Featured snippet, People also ask",,Organic,Non-Branded
long call option investopedia,52,0,50,69,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,61,"[40,20,20,20,20,100,80,20,20,60,20,20]",2021-06-14,"Sitelinks, Video Carousel, People also ask",,Organic,Non-Branded
incentive plan,52,55,720,52,4.5,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.2,70700000,"[82,55,67,67,55,82,82,100,82,67,82,100]",2021-06-29,"Knowledge panel, Top stories, Featured snippet, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
incentive program template,53,0,30,39,4,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.4,20800000,"[20,20,20,20,20,60,40,20,20,20,20,100]",2021-06-21,"Image pack, Reviews, People also ask, FAQ",,Organic,Non-Branded
human resources compensation management system,54,0,70,35,0,https://curocomp.com/,0,0,0,0,325000000,"[11,11,44,56,11,11,11,11,11,11,100,0]",2021-06-09,"Ads top, Ads bottom, People also ask",,Organic,Non-Branded
your compensation,54,44,30,43,0,https://blog.curocomp.com/how-to-handle-compensation-reviews,0,0,0,0.06,241000000,"[33,67,33,33,100,33,67,33,67,33,100,33]",2021-06-29,"Sitelinks, Reviews, People also ask, FAQ",,Organic,Non-Branded
free compensation analysis tools,55,0,20,47,7.27,https://curocomp.com/,0,0,0,0.86,186000000,"[29,14,29,100,14,14,14,14,14,14,14,14]",2021-06-29,"Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
management equity plan definition,55,47,40,18,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,211000000,"[33,0,33,33,33,100,33,33,33,0,0,0]",2021-06-19,"Featured snippet, People also ask",,Organic,Non-Branded
incentive plans examples,55,60,210,40,3.23,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.41,0,"[100,81,81,81,65,81,100,100,65,65,81,81]",2021-06-11,"Carousel, Image pack, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
starter company plus ottawa,56,0,90,11,0,https://curocomp.com/,0,0,0,0,86,"[0,0,100,50,0,0,0,0,0,0,0,0]",2021-06-07,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
equity analytics,56,65,50,20,0,https://curocomp.com/products/curo-pay-equity-analysis-software/,0,0,0,0.06,297000000,"[20,60,20,100,80,20,80,80,60,20,20,20]",2021-06-13,"Reviews, Video Carousel, FAQ",,Organic,Non-Branded
key terms and definitions,57,67,40,37,0,https://curocomp.com/pay-equity-key-terms-glossary/,0,0,0,0,482000000,"[50,25,25,25,25,50,25,25,25,50,100,25]",2021-06-19,"Image pack, Featured snippet, People also ask",,Organic,Non-Branded
incentive payout,57,0,50,28,3.42,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.12,6530000,"[100,9,27,9,9,9,9,9,18,9,27,64]",2021-06-14,"Featured snippet, People also ask, FAQ",,Organic,Non-Branded
executive share scheme,57,56,30,12,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,207000000,"[11,11,22,11,100,33,11,0,0,33,0,56]",2021-06-24,"People also ask, FAQ",,Organic,Non-Branded
equal pay day 2020 in us,57,54,30,58,0,https://blog.curocomp.com/equal-pay-day-strategies-and-solutions,0,0,0,0,564000000,"[20,20,20,0,20,80,20,0,100,20,0,0]",2021-06-24,"Instant answer, Sitelinks, Video Carousel, People also ask",,Organic,Non-Branded
individual incentives examples,58,64,50,25,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.03,115000000,"[14,14,43,14,14,14,100,71,14,14,14,57]",2021-06-13,"Reviews, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
regression analysis gender pay gap,58,76,40,29,0,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,0,0.02,44600000,"[50,0,0,50,100,0,50,50,50,50,100,50]",2021-06-20,"Featured snippet, People also ask",,Organic,Non-Branded
is there a gender pay gap in the uk,58,70,40,55,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,116000000,"[100,100,50,0,50,50,50,50,50,50,100,100]",2021-06-19,"Sitelinks, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
workers comp management software,58,0,70,14,0,https://curocomp.com/,0,0,0,0,145000000,"[43,14,71,14,29,14,14,100,29,71,71,0]",2021-06-07,"Reviews, People also ask",,Organic,Non-Branded
executive compensation plan template,58,0,40,35,4.69,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.49,14400000,"[14,14,29,71,100,14,29,43,100,43,14,14]",2021-06-16,"Image pack, People also ask",,Organic,Non-Branded
indeed long term incentive plan units,59,0,40,6,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.14,34100000,"[14,14,29,14,100,29,14,14,14,57,100,14]",2021-06-19,Reviews,,Organic,Non-Branded
individual bonus scheme,60,0,50,31,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,23300000,"[20,20,0,20,20,20,40,20,100,20,20,20]",2021-06-13,"Reviews, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
examples of executive bonus plans,60,0,40,17,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,10800000,"[11,11,11,11,11,11,11,100,33,11,11,11]",2021-06-18,"Image pack, Ads bottom, People also ask",,Organic,Non-Branded
national equal pay day 2020,61,68,40,60,0,https://blog.curocomp.com/equal-pay-day-strategies-and-solutions,0,0,0,0,218000000,"[60,20,40,40,20,20,100,20,20,20,0,100]",2021-06-20,"Sitelinks, Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
what is the pay gap in the uk,61,0,90,49,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,469000000,"[0,100,50,25,25,25,75,25,0,25,50,0]",2021-06-07,"Sitelinks, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
what is curo management llc,62,0,90,17,0,https://curocomp.com/,0,0,0,0,149000,"[20,20,20,40,100,20,20,20,60,40,20,20]",2021-06-07,"Reviews, Featured snippet, People also ask, FAQ",,Organic,Branded
how big is the gender pay gap in the uk,62,0,50,57,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,172000000,"[0,0,0,0,0,0,0,100,0,0,50,50]",2021-06-13,"Sitelinks, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
gender pay gap uk website,62,0,90,41,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,42500000,"[0,11,11,11,11,22,11,11,11,0,22,100]",2021-06-06,"Sitelinks, People also ask",,Organic,Non-Branded
my share bonus 2018,62,0,70,23,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,339000000,"[0,100,20,0,40,20,40,20,0,0,0,0]",2021-06-10,"Sitelinks, Reviews, People also ask",,Organic,Non-Branded
staff icons reviews,62,0,90,21,0,https://curocomp.com/products/curo-compensation-management-software/,0,0,0,0,26500000,"[100,20,40,20,20,20,100,20,20,20,20,40]",2021-06-07,"Knowledge panel, Sitelinks, Reviews",,Organic,Non-Branded
statistics keywords and definitions,62,75,70,37,0,https://curocomp.com/pay-equity-key-terms-glossary/,0,0,0,0,139000000,"[11,100,11,11,33,22,33,44,11,11,0,11]",2021-06-10,"Image pack, Reviews, Video, Video Carousel, People also ask",,Organic,Non-Branded
multivariate analysis on gender pay gap,63,57,40,45,0,https://curocomp.com/products/curo-pay-equity-analysis-software/,0,0,0,0,8220000,"[50,50,50,50,100,50,100,100,50,50,50,50]",2021-06-19,"Sitelinks, Video, Featured snippet",,Organic,Non-Branded
graduated inventory plan,63,0,70,27,4.64,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.15,37200000,"[78,11,11,11,100,33,11,11,11,33,22,11]",2021-06-07,"Image pack, Sitelinks, People also ask",,Organic,Non-Branded
employee bonus plan design,64,61,70,40,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.29,39400000,"[11,33,11,11,33,44,100,0,11,100,0,11]",2021-06-08,"Image pack, People also ask, FAQ",,Organic,Non-Branded
legal terminology cheat sheet,64,50,40,26,0,https://curocomp.com/pay-equity-key-terms-glossary/,0,0,0,0,6080000,"[0,33,33,33,100,33,33,33,33,67,67,33]",2021-06-19,"Image pack, Reviews",,Organic,Non-Branded
salary incentive schemes,65,0,50,51,0,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0,29800000,"[29,100,14,0,14,14,43,14,0,14,14,0]",2021-06-15,"Featured snippet, People also ask, FAQ",,Organic,Non-Branded
types of incentive plans,66,0,20,29,2.58,https://blog.curocomp.com/long-term-incentive-plans,0,0,0,0.14,0,"[43,14,14,100,29,14,14,43,29,14,14,14]",2021-06-17,"Carousel, Image pack, Featured snippet, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
review fastsoftware com,67,89,30,48,0,https://blog.curocomp.com/how-to-handle-compensation-reviews,0,0,0,0,608000,"[14,14,0,14,14,14,100,29,14,57,57,57]",2021-06-27,"Sitelinks, Reviews, People also ask",,Organic,Non-Branded
